timestamp,event_type,symbol,direction,strategy,entry_price,exit_price,pnl_usd,stop_loss,take_profit,rr_ratio,position_usd,balance_after
2026-08-29 11:02:44,EXIT_TAKE_PROFIT,SOL/USDT,LONG,TREND_SCALP_LONG,23948.3,28474.53,3.78,23469.334,24906.232,2.0,20.0,1003.78
2026-08-29 17:02:44,EXIT_STOP_LOSS,SOL/USDT,SHORT,MEAN_REVERSION_SHORT,24460.56,23213.07,-1.02,23971.3488,25438.9824,2.0,20.0,1002.76
2026-08-29 23:02:44,EXIT_TAKE_PROFIT,BTC/USDT,LONG,TREND_SCALP_LONG,22139.99,24110.45,1.78,21697.1902,23025.589600000003,2.0,20.0,1004.54
2026-08-30 05:02:44,EXIT_TAKE_PROFIT,BTC/USDT,LONG,MEAN_REVERSION_LONG,33146.78,39013.76,3.54,32483.844399999998,34472.6512,2.0,20.0,1008.08
2026-08-30 11:02:44,EXIT_STOP_LOSS,ETH/USDT,LONG,MEAN_REVERSION_LONG,48177.05,45599.58,-1.07,47213.509000000005,50104.132000000005,2.0,20.0,1007.01
2026-08-30 17:02:44,EXIT_STOP_LOSS,SOL/USDT,LONG,TREND_SCALP_LONG,45878.65,42575.39,-1.44,44961.077,47713.796,2.0,20.0,1005.57
2026-08-30 23:02:44,EXIT_STOP_LOSS,ETH/USDT,LONG,TREND_SCALP_LONG,57451.47,53717.12,-1.3,56302.4406,59749.5288,2.0,20.0,1004.27
2026-08-31 05:02:44,EXIT_TAKE_PROFIT,SOL/USDT,LONG,TREND_SCALP_LONG,16893.13,18185.45,1.53,16555.2674,17568.8552,2.0,20.0,1005.8
2026-08-31 11:02:44,EXIT_TAKE_PROFIT,SOL/USDT,LONG,MEAN_REVERSION_LONG,39388.79,45395.58,3.05,38601.0142,40964.3416,2.0,20.0,1008.85
2026-08-31 17:02:44,EXIT_TAKE_PROFIT,BTC/USDT,SHORT,MEAN_REVERSION_SHORT,31110.38,36912.47,3.73,30488.1724,32354.7952,2.0,20.0,1012.58
2026-08-31 23:02:44,EXIT_STOP_LOSS,ETH/USDT,SHORT,TREND_SCALP_SHORT,41266.79,39120.92,-1.04,40441.4542,42917.4616,2.0,20.0,1011.54
2026-09-01 05:02:44,EXIT_STOP_LOSS,ETH/USDT,SHORT,MEAN_REVERSION_SHORT,37940.09,36327.64,-0.85,37181.288199999995,39457.6936,2.0,20.0,1010.69
