timestamp,realized_balance,unrealized_pnl,total_equity,active_positions
2026-08-29 11:02:44,1000.36,-0.32,1000.04,0
2026-08-29 12:32:44,999.56,-0.2,999.36,2
2026-08-29 14:02:44,999.68,-0.32,999.36,0
2026-08-29 15:32:44,1001.09,-0.5,1000.59,1
2026-08-29 17:02:44,1001.38,-0.28,1001.1,2
2026-08-29 18:32:44,1003.33,0.12,1003.45,2
2026-08-29 20:02:44,1003.07,-0.44,1002.63,2
2026-08-29 21:32:44,1003.77,-0.15,1003.62,0
2026-08-29 23:02:44,1003.81,-0.32,1003.49,1
2026-08-30 00:32:44,1004.83,0.14,1004.97,2
2026-08-30 02:02:44,1004.13,0.2,1004.33,2
2026-08-30 03:32:44,1004.74,-0.49,1004.25,1
2026-08-30 05:02:44,1005.89,0.16,1006.05,1
2026-08-30 06:32:44,1004.77,-0.47,1004.3,0
2026-08-30 08:02:44,1006.46,-0.07,1006.39,2
2026-08-30 09:32:44,1005.68,0.19,1005.87,2
2026-08-30 11:02:44,1007.56,0.26,1007.82,2
2026-08-30 12:32:44,1007.09,-0.29,1006.8,0
2026-08-30 14:02:44,1008.38,-0.43,1007.95,2
2026-08-30 15:32:44,1009.83,0.05,1009.88,0
2026-08-30 17:02:44,1010.93,-0.25,1010.68,0
2026-08-30 18:32:44,1012.82,-0.12,1012.7,1
2026-08-30 20:02:44,1014.76,-0.02,1014.74,2
2026-08-30 21:32:44,1015.02,0.4,1015.42,0
2026-08-30 23:02:44,1015.37,-0.23,1015.14,2
2026-08-31 00:32:44,1016.27,-0.08,1016.19,0
2026-08-31 02:02:44,1017.5,-0.31,1017.19,2
2026-08-31 03:32:44,1017.08,-0.45,1016.63,1
2026-08-31 05:02:44,1017.75,-0.37,1017.38,2
2026-08-31 06:32:44,1019.11,-0.07,1019.04,0
2026-08-31 08:02:44,1019.43,0.34,1019.77,2
2026-08-31 09:32:44,1020.29,0.23,1020.52,2
2026-08-31 11:02:44,1021.41,-0.46,1020.95,2
2026-08-31 12:32:44,1022.46,-0.13,1022.33,2
2026-08-31 14:02:44,1022.88,-0.17,1022.71,1
2026-08-31 15:32:44,1023.13,0.43,1023.56,2
2026-08-31 17:02:44,1023.06,-0.25,1022.81,2
2026-08-31 18:32:44,1023.81,0.05,1023.86,0
2026-08-31 20:02:44,1025.66,0.45,1026.11,1
2026-08-31 21:32:44,1025.11,-0.32,1024.79,0
2026-08-31 23:02:44,1026.53,0.4,1026.93,0
2026-09-01 00:32:44,1027.22,-0.27,1026.95,2
2026-09-01 02:02:44,1026.36,0.41,1026.77,2
2026-09-01 03:32:44,1025.97,0.5,1026.47,0
2026-09-01 05:02:44,1027.24,-0.08,1027.16,1
2026-09-01 06:32:44,1027.24,0.29,1027.53,2
2026-09-01 08:02:44,1028.43,0.22,1028.65,2
2026-09-01 09:32:44,1028.48,0.19,1028.67,2
2026-09-01 11:02:44,1030.32,0.06,1030.38,2
2026-09-01 12:32:44,1032.11,0.3,1032.41,0
2026-09-01 11:04:27,1000.0,0.0,1000.0,0
2026-09-01 11:04:30,1000.0,0.0,1000.0,0
2026-09-01 11:04:41,1000.0,0.0,1000.0,0
2026-09-01 11:04:52,1000.0,0.0,1000.0,0
2026-09-01 11:05:03,1000.0,0.0,1000.0,0
2026-09-01 11:05:14,1000.0,0.0,1000.0,0
2026-09-01 11:05:25,1000.0,0.0,1000.0,0
2026-09-01 11:05:36,1000.0,0.0,1000.0,0
2026-09-01 11:05:46,1000.0,0.0,1000.0,0
2026-09-01 11:05:57,1000.0,0.0,1000.0,0
2026-09-01 11:06:08,1000.0,0.0,1000.0,0
2026-09-01 11:06:19,1000.0,0.0,1000.0,0
2026-09-01 11:06:29,1000.0,0.0,1000.0,0
2026-09-01 11:06:40,1000.0,0.0,1000.0,0
2026-09-01 11:06:51,1000.0,0.0,1000.0,0
2026-09-01 11:07:02,1000.0,0.0,1000.0,0
2026-09-01 11:07:13,1000.0,0.0,1000.0,0
2026-09-01 11:07:24,1000.0,0.0,1000.0,0
2026-09-01 11:07:34,1000.0,0.0,1000.0,0
2026-09-01 11:07:45,1000.0,0.0,1000.0,0
2026-09-01 11:07:56,1000.0,0.0,1000.0,0
2026-09-01 11:08:07,1000.0,0.0,1000.0,0
2026-09-01 11:08:18,1000.0,0.0,1000.0,0
2026-09-01 11:08:28,1000.0,0.0,1000.0,0
2026-09-01 11:08:39,1000.0,0.0,1000.0,0
2026-09-01 11:08:50,1000.0,0.0,1000.0,0
2026-09-01 11:09:01,1000.0,0.0,1000.0,0
2026-09-01 11:09:12,1000.0,0.0,1000.0,0
2026-09-01 11:09:22,1000.0,0.0,1000.0,0
2026-09-01 11:09:33,1000.0,0.0,1000.0,0
2026-09-01 11:09:44,1000.0,0.0,1000.0,0
2026-09-01 11:09:55,1000.0,0.0,1000.0,0
2026-09-01 11:10:06,1000.0,0.0,1000.0,0
2026-09-01 11:10:16,1000.0,0.0,1000.0,0
2026-09-01 11:10:27,1000.0,0.0,1000.0,0
2026-09-01 11:10:38,1000.0,0.0,1000.0,0
2026-09-01 11:10:49,1000.0,0.0,1000.0,0
2026-09-01 11:11:00,1000.0,0.0,1000.0,0
2026-09-01 11:11:10,1000.0,0.0,1000.0,0
2026-09-01 11:11:21,1000.0,0.0,1000.0,0
2026-09-01 11:11:32,1000.0,0.0,1000.0,0
2026-09-01 11:11:43,1000.0,0.0,1000.0,0
2026-09-01 11:11:54,1000.0,0.0,1000.0,0
2026-09-01 11:12:04,1000.0,0.0,1000.0,0
2026-09-01 11:12:15,1000.0,0.0,1000.0,0
2026-09-01 11:12:26,1000.0,0.0,1000.0,0
2026-09-01 11:12:37,1000.0,0.0,1000.0,0
2026-09-01 11:12:48,1000.0,0.0,1000.0,0
2026-09-01 11:12:58,1000.0,0.0,1000.0,0
2026-09-01 11:13:09,1000.0,0.0,1000.0,0
2026-09-01 11:14:16,1000.0,0.0,1000.0,0
2026-09-01 11:14:16,1000.0,0.0,1000.0,0
2026-09-01 11:14:26,1000.0,0.0,1000.0,0
2026-09-01 11:14:34,1000.0,0.0,1000.0,0
2026-09-01 11:14:42,1000.0,0.0,1000.0,0
2026-09-01 11:14:58,1000.0,0.0,1000.0,0
2026-09-01 11:15:01,1000.0,0.0,1000.0,0
2026-09-01 11:33:54,1000.0,0.0,1000.0,0
2026-09-01 11:33:54,1000.0,0.0,1000.0,0
2026-09-01 11:33:57,1000.0,0.0,1000.0,0
2026-09-01 11:34:05,1000.0,0.0,1000.0,0
2026-09-01 11:34:13,1000.0,0.0,1000.0,0
